Area,2018,2019,2020,2021,2022
Taipei,26832,27743,31180,30901,28611
New_Taipei,56653,60035,63346,68295,60184
Taoyuan,34580,40384,45712,46831,43935
Taichung,39804,43438,48623,49990,50695
Tainan,21016,23182,23044,26752,23091
Kaohsiung,33275,37250,38270,44897,37117
